Model,Accuracy,Precision,Recall,F1 Score,Sensitivity,Specificity
resnet18,0.825,0.8310982899319092,0.825,0.82419046886813,0.8928571428571429,0.7571428571428571
efficientnet_b0,0.8214285714285714,0.823076923076923,0.8214285714285714,0.8212005108556831,0.7857142857142857,0.8571428571428571
densenet121,0.8,0.80625,0.8,0.798974358974359,0.7285714285714285,0.8714285714285714
